Designator,Mid X,Mid Y,Rotation,Layer
C1,131.0,-72.5,0.0,top
C10,131.025,-74.0,0.0,top
C2,161.0,-102.775,90.0,top
C3,165.725,-61.0,0.0,top
C4,162.725,-87.3,0.0,top
C5,131.25,-88.3,180.0,top
C6,166.275,-103.25,0.0,top
C7,166.025,-97.75,180.0,top
C8,161.0,-59.51,180.0,top
C9,130.9,-77.0,0.0,top
J1,131.25,-90.88,0.0,top
J2,166.0,-95.08,180.0,top
J3,163.0,-107.0,0.0,bottom
J4,156.345054,-44.284065,180.0,top
J5,133.0,-105.0,180.0,top
Q1,150.5,-68.15,180.0,top
Q2,150.5,-64.25,180.0,top
Q3,154.8125,-63.25,180.0,top
Q4,132.0625,-50.05,0.0,top
Q5,132.0625,-54.5,0.0,top
Q6,132.0625,-58.95,0.0,top
R1,146.75,-67.75,180.0,top
R10,136.175,-58.0,0.0,top
R11,136.25,-61.0,180.0,top
R12,130.75,-61.5,0.0,top
R13,146.75,-64.75,180.0,top
R14,147.9,-71.4,0.0,top
R15,146.75,-63.25,180.0,top
R16,130.75,-67.0,0.0,top
R17,130.75,-65.25,0.0,top
R18,130.75,-63.5,0.0,top
R19,158.0,-96.825,270.0,top
R2,146.75,-69.25,180.0,top
R20,160.9,-82.4,0.0,top
R21,162.675,-92.0,0.0,top
R22,165.675,-66.0,0.0,top
R23,158.825,-63.5,180.0,top
R24,134.25,-80.175,270.0,top
R25,134.5,-76.8,180.0,top
R3,146.75,-66.25,180.0,top
R4,151.925,-71.4,180.0,top
R5,156.4,-60.25,180.0,top
R6,155.025,-67.2,180.0,top
R7,136.0,-49.0,0.0,top
R8,136.175,-52.0,0.0,top
R9,136.175,-55.0,0.0,top
SW1,165.470003,-50.970003,90.0,top
U1,143.0,-53.999873,0.0,top
U10,158.799467,-61.74652,180.0,top
U2,152.3,-53.9,0.0,bottom
U3,145.500064,-91.855029,180.0,top
U4,157.525019,-103.0,0.0,top
U5,162.555,-96.0,90.0,top
U6,159.0,-70.0,0.0,top
U7,131.3,-82.6,0.0,top
U8,163.91176,-75.999873,180.0,top
U9,161.95061,-63.503505,0.0,top
