Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C8",0603,4,1uf,
"C10, C4, C6",0603,3,100uf,
"C5, C7, C9",0603,3,0.1uF,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery Connector,
J4,ChargingNotches,1,Charging Notches,
J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Speaker Connector,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,IRLML6244,
"R1, R11, R3, R5, R7, R9",0603,6,1,
"R10, R12, R19, R2, R4, R6, R8",0603,7,100,
"R13, R14, R15, R16, R17, R18",0603,6,100k,
R20,0603,1,4k7,
"R21, R22, R23, R25",0603,4,1k,
R24,0603,1,3k3,
SW1,SW-TH_SK12D07VG4,1,SK12D07VG4,C393937
"U1, U2",LED-SMD_XL-HD6070RGBC-A46L,2,XL-HD6070RGBC-A46L,C5349977
U10,LED0603-RD_GREEN,1,XL-1608SYGC-06,C965805
U3,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S2-SOLO-2-N4,C3040594
U4,MIC-SMD_3P-L2.8-W1.9_ZTS6056,1,ZTS6156,C481301
U5,XB4908A,1,~,
U6,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056_C725790,C725790
U7,MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,1,PAM8304ASR,C56211
U8,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,1,HT7533-1_C14289,C14289
U9,LED0603-RD_BLUE,1,XL-1608UBC-04,C965807
