Designator,Mid X,Mid Y,Rotation,Layer
C1,150.2,-100.2,90.0,bottom
C10,166.3,-52.6,0.0,top
C11,129.5,-101.9,90.0,top
C12,151.6125,-83.275,270.0,top
C13,142.9,-87.3,0.0,top
C14,135.7,-87.3,180.0,top
C2,129.032,-94.488,270.0,top
C3,126.875,-90.4,0.0,top
C4,126.7,-102.9,0.0,top
C5,150.7,-74.6,180.0,bottom
C6,163.068,-75.692,90.0,top
C7,163.0,-102.1,0.0,top
C8,166.8,-70.0,90.0,top
C9,137.6,-97.8,0.0,bottom
J1,127.574955,-81.000013,270.0,top
J2,165.674955,-81.000013,270.0,top
J3,156.972,-83.312,270.0,bottom
J4,148.095054,-44.284065,180.0,top
J5,157.014,-90.408,270.0,bottom
LED1,143.0,-53.999873,0.0,top
LED2,152.3,-53.9,0.0,bottom
MIC1,128.6,-105.4,0.0,bottom
Q1,150.5,-68.15,0.0,top
Q2,150.5,-64.25,0.0,top
Q3,154.8125,-63.25,0.0,top
Q4,129.2,-47.1,180.0,top
Q5,129.4,-50.6,180.0,top
Q6,129.4,-54.2,180.0,top
R1,146.75,-67.75,180.0,top
R10,136.2,-55.7,0.0,top
R11,134.2,-58.9,180.0,top
R12,128.6,-57.2,0.0,top
R13,146.75,-64.75,180.0,top
R14,146.5,-87.2,0.0,top
R15,146.75,-63.25,180.0,top
R16,128.475,-63.425,0.0,top
R17,128.425,-61.675,0.0,top
R18,128.425,-59.925,0.0,top
R19,149.2125,-83.275,270.0,top
R2,146.75,-69.25,180.0,top
R20,160.9,-81.2,180.0,top
R21,166.1,-102.1,0.0,top
R22,165.675,-66.0,0.0,top
R23,158.825,-63.5,180.0,top
R24,146.7025,-83.275,90.0,top
R25,128.7,-99.3,180.0,bottom
R26,126.9,-92.1,180.0,top
R27,126.492,-94.488,90.0,top
R28,126.7,-101.4,0.0,top
R29,126.9,-106.1,0.0,top
R3,146.75,-66.25,180.0,top
R30,137.6,-96.0,0.0,bottom
R31,142.5,-97.1,270.0,bottom
R32,126.9,-107.7,180.0,top
R33,129.032,-99.314,0.0,top
R34,126.2,-97.5,90.0,top
R35,155.9,-95.225,90.0,top
R36,154.432,-95.25,90.0,top
R4,149.8,-87.2,180.0,top
R5,155.6,-59.3,90.0,top
R6,155.025,-67.2,180.0,top
R7,132.8,-48.0,0.0,top
R8,136.0,-50.3,0.0,top
R9,135.3,-52.6,0.0,top
SW1,164.9,-107.4,0.0,top
T1,145.2,-104.0,270.0,bottom
T2,137.2,-104.0,90.0,bottom
TXAL1,139.3,-87.4,0.0,top
U10,159.849568,-61.105359,180.0,top
U3,141.821266,-103.038512,180.0,top
U4,127.904554,-93.3,270.0,bottom
U5,161.29,-92.202,90.0,top
U6,158.675006,-70.035858,0.0,top
U8,160.274,-75.885979,0.0,top
U9,163.450432,-61.094628,0.0,top
USB1,156.1,-105.7,0.0,top
