Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,47uf,
C10,CASE-B_3528,1,100uf,
"C11, C9",0603,2,1uF,
"C12, C3, C8",0603,3,100nF,
C2,0603,1,100pF optional,
C4,0603,1,470nF,
C5,CAP-SMD_BD8.0-L8.3-W8.3-FD,1,1000uf,
C6,0603,1,10uf,
C7,0603,1,0.1uF,
"J1, J2",HDR-TH_6P-P2.54-V-F,2,Conn_01x06_Socket,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Battery Connector,
J4,ChargingNotches,1,Charging Notches,
"LED1, LED2",LED-SMD_XL-HD6070RGBC-A46L,2,XL-HD6070RGBC-A46L,C5349977
MIC1,MIC-TH_BD6.0_B6027AP383-056,1,B4013AM423-093,C233790
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23,6,IRLML6244,
"R1, R11",0603,2,4,
"R10, R12, R2, R4, R6, R8",0603,6,100,
"R13, R14, R15, R16, R17, R18, R25, R27, R30, R31, R33",0603,11,100k,
"R19, R24",0603,2,470k,
R20,0603,1,4k7,
"R21, R22, R23",0603,3,1k,
R26,0603,1,47k,
"R28, R29, R34",0603,3,10k,
"R3, R5, R7, R9",0603,4,1,
R32,0603,1,470R,
"R35, R36",0603,2,10,
SW1,SW-SMD_MK-12C02-G025,1,MK-12C02-G025,C778186
"T1, T2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,TS-1187A-B-A-B,C318884
U10,LED0603-RD_GREEN,1,XL-1608SYGC-06,C965805
U3,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S2-SOLO-2-N4,C3040594
U4,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,TLV9002IDR,C398360
U5,XB4908A,1,XB4908A,
U6,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056_C725790,C725790
U8,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,ME6217C33M5G,C427602
U9,LED0603-RD_BLUE,1,XL-1608UBC-04,C965807
USB1,MICRO-USB-SMD_MICROXNJ,1,MICROXNJ,C404969
